ten_san_pham,thuong_hieu,danh_muc,gia_goc,gia_ban,phan_tram_giam_gia,so_luong_da_ban,so_luong_ton,rating,so_luot_danh_gia,ten_shop,shop_mall,dia_diem_shop,danh_gia_shop,tham_gia_tu
Vivobook 15,Asus,Laptop,13988144,10910752,22,3700,1004,3.8,2270,Store Asus 56,Có,Hải Phòng,4.7,2017
EliteBook 840,HP,Laptop,31822581,25458064,20,612,168,3.9,394,Smart HP 82,Có,Cần Thơ,4.3,2017
Galaxy S24,Samsung,Điện thoại,25687478,17210610,33,2958,552,3.7,362,Mobile Samsung 56,Không,Hải Phòng,4.6,2022
Galaxy S24,Samsung,Điện thoại,11014218,8040379,27,4550,190,4.4,2662,Mega Samsung 50,Có,Đà Nẵng,4.4,2017
Xperia 1 V,Sony,Điện thoại,21290174,13199907,38,1399,1403,4.1,289,Digital Sony 39,Không,Cần Thơ,4.1,2018
Vivobook 15,Asus,Laptop,40259699,30597371,24,3976,157,4.0,3872,Mobile Asus 93,Không,Hải Phòng,4.6,2023
Galaxy S24,Samsung,Điện thoại,25445252,24172989,5,3251,680,4.8,1561,Mega Samsung 43,Không,Đà Nẵng,4.4,2025
MacBook Air M2,Apple,Laptop,33519474,27821163,17,3934,643,3.8,1636,Digital Apple 38,Không,Hải Phòng,4.8,2021
Vivobook 15,Asus,Laptop,38369430,27625989,28,942,1154,3.8,563,Mobile Asus 88,Có,Cần Thơ,4.9,2019
Vivobook 15,Asus,Laptop,58495388,53230803,9,3361,1378,4.2,2599,Digital Asus 31,Không,Hà Nội,4.7,2022
Galaxy A55,Samsung,Điện thoại,37160896,26012627,30,4387,1037,4.9,3431,Center Samsung 5,Không,Hải Phòng,4.6,2017
Galaxy S24,Samsung,Điện thoại,28824238,24500602,15,372,1153,5.0,351,Smart Samsung 52,Không,Cần Thơ,4.1,2017
Redmi Note 13,Xiaomi,Điện thoại,39270902,24347959,38,4581,1188,4.5,1815,Store Xiaomi 48,Không,Cần Thơ,4.8,2025
Xperia 1 V,Sony,Điện thoại,15116321,11034914,27,211,988,3.7,111,Tech Sony 15,Có,Đà Nẵng,4.3,2023
Pavilion 14,HP,Laptop,46971424,30531425,35,2863,975,3.6,2858,Store HP 41,Có,Đà Nẵng,4.0,2017
Galaxy A55,Samsung,Điện thoại,12339205,10488324,15,2008,1056,3.8,332,Digital Samsung 72,Không,Cần Thơ,4.2,2022
WH-1000XM5,Sony,Tai nghe,3427053,2330396,32,3250,59,4.6,813,Store Sony 76,Không,Cần Thơ,4.0,2019
MacBook Air M2,Apple,Laptop,59228516,53897949,9,4739,208,4.7,4403,Mobile Apple 47,Không,Hà Nội,4.5,2020
PlayStation 5,Sony,Gaming,40414355,30310766,25,4900,795,4.4,4813,Tech Sony 45,Không,Cần Thơ,4.6,2020
Alienware M16,Dell,Gaming,10687608,9298218,13,2575,241,3.9,484,Mobile Dell 48,Có,Hải Phòng,4.4,2025
AirPods Pro 2,Apple,Tai nghe,6737584,4581557,32,1531,996,4.5,1425,Smart Apple 23,Có,Cần Thơ,4.3,2018
Xiaomi 14,Xiaomi,Điện thoại,8597790,6276386,27,88,992,3.7,54,Center Xiaomi 65,Không,Cần Thơ,4.7,2022
PlayStation 5,Sony,Gaming,37796069,32126658,15,687,1157,3.5,230,Digital Sony 5,Không,Hà Nội,4.5,2018
Victus 16,HP,Laptop,49960159,31974501,36,4513,1046,3.7,940,Digital HP 70,Không,Hải Phòng,4.8,2016
EliteBook 840,HP,Laptop,41619609,25387961,39,1800,870,3.7,1704,Smart HP 97,Có,Đà Nẵng,4.9,2016
Vivobook 15,Asus,Laptop,35392604,31853343,10,3606,240,4.7,975,Mobile Asus 95,Không,Hải Phòng,4.6,2018
Inspiron 15,Dell,Laptop,25866010,21210128,18,496,1167,4.0,148,Center Dell 69,Có,Đà Nẵng,5.0,2020
Redmi Buds 5,Xiaomi,Tai nghe,4785272,3014721,37,790,277,4.9,426,Tech Xiaomi 36,Có,Hà Nội,4.2,2021
Pavilion 14,HP,Laptop,57381332,40166932,30,4019,291,4.4,1105,Smart HP 54,Không,Cần Thơ,4.1,2017
Zenbook OLED,Asus,Laptop,30671409,22083414,28,3734,999,4.0,15,Mega Asus 94,Có,Cần Thơ,4.6,2021
Pavilion 14,HP,Laptop,47864618,33505232,30,1794,879,4.7,1018,Digital HP 42,Không,Đà Nẵng,4.5,2018
XPS 13,Dell,Laptop,35067975,32262537,8,386,203,4.4,240,Tech Dell 16,Có,Cần Thơ,4.5,2022
AirPods Pro 2,Apple,Tai nghe,2513134,1909981,24,1312,561,3.6,743,Digital Apple 11,Không,Hà Nội,4.1,2020
Xperia 1 V,Sony,Điện thoại,20713127,14084926,32,757,1441,3.6,223,Store Sony 10,Có,Hải Phòng,4.2,2023
Galaxy S24,Samsung,Điện thoại,28056870,24690045,12,3469,1421,3.7,295,Mobile Samsung 50,Có,TP.HCM,4.1,2021
Redmi Note 13,Xiaomi,Điện thoại,30683974,26695057,13,1180,140,4.3,22,Center Xiaomi 84,Có,Cần Thơ,4.4,2019
Xperia 1 V,Sony,Điện thoại,15158545,10459396,31,3634,444,3.6,416,Mobile Sony 97,Có,Hải Phòng,4.7,2021
Vivobook 15,Asus,Laptop,21383845,17107076,20,2278,1320,3.6,2271,Center Asus 77,Không,TP.HCM,4.8,2020
AirPods Pro 2,Apple,Tai nghe,10482543,6604002,37,1555,802,3.9,116,Mega Apple 31,Không,Cần Thơ,4.1,2023
Xperia 1 V,Sony,Điện thoại,9765534,6054631,38,108,739,4.9,21,Store Sony 73,Không,Đà Nẵng,4.5,2018
Victus 16,HP,Laptop,16898399,15884495,6,4821,138,3.5,1772,Tech HP 8,Không,Hải Phòng,4.3,2024
Victus 16,HP,Laptop,40425652,28297956,30,685,1311,4.3,635,Mobile HP 36,Có,Đà Nẵng,4.1,2019
Pavilion 14,HP,Laptop,47996535,35997401,25,3210,1201,4.5,2666,Smart HP 83,Có,Đà Nẵng,4.7,2019
Galaxy S24,Samsung,Điện thoại,10785642,7334236,32,960,928,4.4,61,Digital Samsung 86,Có,TP.HCM,4.0,2018
WH-1000XM5,Sony,Tai nghe,3048655,1951139,36,2850,1071,4.3,1066,Mobile Sony 48,Có,Đà Nẵng,4.7,2017
Pavilion 14,HP,Laptop,34482209,23447902,32,2238,1072,3.6,320,Store HP 59,Không,TP.HCM,4.5,2025
MacBook Air M2,Apple,Laptop,22556894,17819946,21,852,1175,4.5,123,Mobile Apple 95,Có,TP.HCM,4.9,2016
iPhone 15,Apple,Điện thoại,36659585,26394901,28,3147,307,3.8,149,Center Apple 92,Không,Hà Nội,4.3,2022
PlayStation 5,Sony,Gaming,23203813,21115469,9,4692,763,3.7,436,Mobile Sony 29,Có,Cần Thơ,4.1,2023
Victus 16,HP,Laptop,32850574,24637930,25,717,1132,4.2,382,Mobile HP 38,Không,Hải Phòng,4.2,2021
XPS 13,Dell,Laptop,25114576,15319891,39,2018,308,3.5,844,Tech Dell 30,Không,TP.HCM,5.0,2016
EliteBook 840,HP,Laptop,37251376,28311045,24,861,420,4.3,248,Store HP 63,Có,Hà Nội,4.7,2017
Galaxy S24,Samsung,Điện thoại,39880450,27517510,31,3061,938,5.0,352,Center Samsung 13,Có,Cần Thơ,4.1,2025
Galaxy A55,Samsung,Điện thoại,13771684,11017347,20,2399,534,4.8,1614,Smart Samsung 95,Không,Đà Nẵng,4.5,2019
Galaxy S24,Samsung,Điện thoại,14134311,12579536,11,1283,216,3.7,959,Digital Samsung 53,Có,Hải Phòng,4.4,2019
Vivobook 15,Asus,Laptop,43094663,34044783,21,992,185,3.7,707,Digital Asus 91,Có,Hà Nội,4.8,2021
iPhone 15,Apple,Điện thoại,21657680,15810106,27,3256,1051,3.6,1229,Digital Apple 23,Có,Cần Thơ,4.9,2024
Xperia 1 V,Sony,Điện thoại,21767326,19372920,11,3795,208,4.7,577,Tech Sony 2,Có,Hà Nội,4.1,2022
Redmi Buds 5,Xiaomi,Tai nghe,10874638,9787174,10,4780,1200,3.9,619,Tech Xiaomi 9,Có,Cần Thơ,4.8,2017
Victus 16,HP,Laptop,20222692,18807103,7,3786,103,3.8,2355,Store HP 93,Không,Cần Thơ,4.0,2022
MacBook Air M2,Apple,Laptop,26409353,22183856,16,2262,573,4.2,613,Tech Apple 79,Có,Đà Nẵng,4.5,2024
ROG Strix G16,Asus,Laptop,17886893,13951776,22,3147,281,4.1,2637,Mega Asus 68,Có,Hải Phòng,4.8,2022
EliteBook 840,HP,Laptop,36099605,23464743,35,4470,992,4.0,4120,Digital HP 50,Không,Hà Nội,4.0,2025
iPhone 15,Apple,Điện thoại,23853072,21944826,8,3874,1084,4.0,2397,Mobile Apple 21,Có,Hà Nội,4.7,2020
Alienware M16,Dell,Gaming,8751966,7089092,19,4726,795,4.0,1428,Mobile Dell 31,Không,Đà Nẵng,4.9,2016
Xperia 1 V,Sony,Điện thoại,28600989,24596850,14,4622,385,4.8,4037,Center Sony 40,Có,Cần Thơ,4.0,2016
AirPods Pro 2,Apple,Tai nghe,3971004,3732743,6,4322,978,3.5,1655,Mega Apple 17,Không,Hà Nội,4.9,2021
Galaxy S24,Samsung,Điện thoại,14912785,12824995,14,918,1077,4.8,79,Digital Samsung 91,Không,Hải Phòng,4.1,2020
Redmi Note 13,Xiaomi,Điện thoại,15569906,10587536,32,4001,1329,4.0,2901,Center Xiaomi 89,Không,Hà Nội,4.7,2018
Vivobook 15,Asus,Laptop,58204348,44817347,23,1053,363,4.6,806,Mega Asus 99,Có,Hà Nội,4.6,2025
AirPods Pro 2,Apple,Tai nghe,9788358,8711638,11,4074,288,4.0,323,Mobile Apple 45,Không,Hà Nội,4.6,2017
EliteBook 840,HP,Laptop,56964587,42153794,26,3668,23,3.9,1027,Smart HP 9,Không,Đà Nẵng,4.8,2016
Galaxy A55,Samsung,Điện thoại,34408455,23741833,31,1372,847,4.2,780,Digital Samsung 70,Không,TP.HCM,4.8,2025
Xperia 1 V,Sony,Điện thoại,20138600,17117810,15,3706,150,4.7,141,Digital Sony 3,Không,Đà Nẵng,5.0,2017
Redmi Note 13,Xiaomi,Điện thoại,30196552,25667069,15,624,1120,4.9,100,Digital Xiaomi 77,Không,TP.HCM,4.4,2018
XPS 13,Dell,Laptop,22543056,20739611,8,839,678,3.8,199,Store Dell 90,Không,Đà Nẵng,4.3,2017
Galaxy A55,Samsung,Điện thoại,37946981,32634403,14,456,738,3.5,49,Digital Samsung 85,Không,Hà Nội,4.1,2019
AirPods Pro 2,Apple,Tai nghe,5195783,4676204,10,3889,236,4.0,1633,Store Apple 63,Không,TP.HCM,4.6,2022
MacBook Air M2,Apple,Laptop,37598353,27070814,28,1538,912,3.6,905,Store Apple 34,Có,Đà Nẵng,4.6,2018
EliteBook 840,HP,Laptop,56793050,50545814,11,712,1368,4.0,559,Store HP 97,Có,Hải Phòng,4.1,2022
EliteBook 840,HP,Laptop,40093922,24457292,39,3899,1172,4.8,1955,Digital HP 11,Không,TP.HCM,4.5,2024
EliteBook 840,HP,Laptop,57468596,49422992,14,995,919,3.8,176,Mobile HP 25,Có,TP.HCM,4.4,2022
AirPods Pro 2,Apple,Tai nghe,2780985,2196978,21,2629,1489,4.9,279,Tech Apple 50,Không,Hải Phòng,4.3,2020
XPS 13,Dell,Laptop,12829720,7954426,38,3447,230,4.1,612,Center Dell 76,Có,TP.HCM,4.6,2017
Victus 16,HP,Laptop,47945754,35000400,27,3376,540,4.1,1993,Center HP 78,Không,TP.HCM,4.2,2022
AirPods Pro 2,Apple,Tai nghe,10511540,7358078,30,327,810,4.8,174,Smart Apple 31,Có,Cần Thơ,4.9,2021
Galaxy A55,Samsung,Điện thoại,25337673,19256631,24,2306,1006,4.8,407,Mega Samsung 30,Có,Đà Nẵng,5.0,2023
Victus 16,HP,Laptop,30080468,20755522,31,4965,1322,3.6,3623,Mobile HP 53,Không,Hải Phòng,4.9,2016
Inspiron 15,Dell,Laptop,16403480,12466644,24,4161,826,3.7,242,Mobile Dell 25,Có,TP.HCM,4.2,2023
Galaxy A55,Samsung,Điện thoại,18362030,14322383,22,3027,950,4.3,2607,Tech Samsung 88,Có,Hà Nội,4.4,2025
ROG Strix G16,Asus,Laptop,43848678,26309206,40,2875,705,3.7,1064,Smart Asus 89,Có,Đà Nẵng,4.0,2016
AirPods Pro 2,Apple,Tai nghe,3895669,3155491,19,1854,1387,3.8,1339,Store Apple 66,Có,TP.HCM,4.5,2018
WH-1000XM5,Sony,Tai nghe,10385488,9866213,5,1843,516,4.4,630,Smart Sony 91,Không,Cần Thơ,4.9,2021
Vivobook 15,Asus,Laptop,26643761,17584882,34,2485,1386,4.3,1631,Center Asus 14,Có,Hải Phòng,5.0,2021
Alienware M16,Dell,Gaming,44847400,34532498,23,2455,1401,3.7,266,Digital Dell 36,Không,Đà Nẵng,4.3,2020
iPhone 15,Apple,Điện thoại,39714984,31771987,20,475,1228,4.1,168,Smart Apple 18,Có,Cần Thơ,5.0,2020
Vivobook 15,Asus,Laptop,38056688,35392719,7,4786,1450,5.0,1560,Digital Asus 93,Có,Hải Phòng,4.6,2023
PlayStation 5,Sony,Gaming,39045323,29674445,24,1402,1346,4.8,375,Digital Sony 13,Không,Hà Nội,4.7,2024
Pavilion 14,HP,Laptop,57614724,42634895,26,741,455,4.0,319,Store HP 43,Không,Đà Nẵng,4.6,2023
Pavilion 14,HP,Laptop,43577174,40091000,8,4790,1188,4.9,588,Store HP 25,Có,Cần Thơ,4.5,2022
Galaxy S24,Samsung,Điện thoại,14218426,11801293,17,2817,838,5.0,1879,Mobile Samsung 41,Có,TP.HCM,4.5,2018
Redmi Buds 5,Xiaomi,Tai nghe,1273306,1209640,5,3713,560,3.8,3173,Mobile Xiaomi 74,Có,Cần Thơ,4.8,2017
AirPods Pro 2,Apple,Tai nghe,7576470,5151999,32,3314,878,4.9,1575,Tech Apple 5,Có,Đà Nẵng,5.0,2021
EliteBook 840,HP,Laptop,24789386,23302022,6,43,1283,4.6,19,Smart HP 45,Không,Hà Nội,4.1,2024
XPS 13,Dell,Laptop,23208535,21119766,9,384,610,4.9,238,Smart Dell 67,Không,Cần Thơ,4.9,2018
Xiaomi 14,Xiaomi,Điện thoại,29108918,24160401,17,1360,826,3.5,464,Smart Xiaomi 17,Có,TP.HCM,4.6,2018
Galaxy A55,Samsung,Điện thoại,7507417,5330266,29,2105,1095,4.4,201,Smart Samsung 14,Có,TP.HCM,4.7,2022
Vivobook 15,Asus,Laptop,20294324,12176594,40,2080,971,4.6,846,Smart Asus 88,Có,Đà Nẵng,4.4,2017
Xperia 1 V,Sony,Điện thoại,23117859,20112537,13,3441,214,4.3,2535,Tech Sony 37,Có,TP.HCM,4.5,2025
MacBook Air M2,Apple,Laptop,47107740,39099424,17,2942,1440,4.1,661,Tech Apple 71,Không,Hà Nội,4.7,2023
Redmi Note 13,Xiaomi,Điện thoại,5183744,4924556,5,739,226,4.8,690,Store Xiaomi 20,Có,Hải Phòng,4.1,2017
Redmi Buds 5,Xiaomi,Tai nghe,4178226,2757629,34,2435,540,4.2,413,Mega Xiaomi 23,Có,Đà Nẵng,4.4,2021
Zenbook OLED,Asus,Laptop,19777988,17602409,11,385,19,4.8,344,Smart Asus 22,Không,Đà Nẵng,4.9,2025
Redmi Buds 5,Xiaomi,Tai nghe,1859464,1338814,28,2817,374,3.7,1644,Store Xiaomi 35,Không,Cần Thơ,4.8,2018
Galaxy S24,Samsung,Điện thoại,8935692,7595338,15,859,852,4.9,499,Mega Samsung 73,Không,Hà Nội,4.6,2021
Inspiron 15,Dell,Laptop,57933610,50402240,13,3967,999,3.7,1689,Store Dell 6,Có,Đà Nẵng,4.7,2016
Xperia 1 V,Sony,Điện thoại,20031373,14823216,26,4262,1071,4.5,785,Store Sony 85,Có,Cần Thơ,4.3,2022
AirPods Pro 2,Apple,Tai nghe,10582990,9736350,8,105,1317,4.9,69,Mega Apple 61,Không,Hà Nội,4.1,2023
Redmi Note 13,Xiaomi,Điện thoại,27205976,21220661,22,422,1038,3.8,334,Store Xiaomi 52,Có,TP.HCM,4.5,2025
ROG Strix G16,Asus,Laptop,45450825,30452052,33,2599,243,5.0,77,Tech Asus 52,Không,TP.HCM,4.6,2016
Pavilion 14,HP,Laptop,52547395,39936020,24,4174,1151,3.8,3742,Digital HP 47,Có,Hà Nội,4.8,2021
Alienware M16,Dell,Gaming,36751463,26461053,28,3717,233,3.6,2703,Mobile Dell 1,Không,Đà Nẵng,4.8,2020
Alienware M16,Dell,Gaming,30091357,26781307,11,385,336,4.2,372,Smart Dell 93,Không,TP.HCM,4.3,2019
iPhone 15,Apple,Điện thoại,31366837,25720806,18,3754,390,4.6,446,Mega Apple 54,Có,Hải Phòng,4.1,2023
Zenbook OLED,Asus,Laptop,51548338,32475452,37,1112,1021,3.5,104,Center Asus 56,Không,Hải Phòng,4.8,2018
Xperia 1 V,Sony,Điện thoại,16653472,14488520,13,858,793,4.5,625,Digital Sony 65,Không,Cần Thơ,5.0,2019
Xiaomi 14,Xiaomi,Điện thoại,28008864,21566825,23,3719,273,3.7,2472,Smart Xiaomi 96,Không,Hải Phòng,4.9,2024
WH-1000XM5,Sony,Tai nghe,3670359,3009694,18,2390,1406,4.0,548,Smart Sony 84,Có,Hải Phòng,4.5,2021
WH-1000XM5,Sony,Tai nghe,6209569,3725741,40,3945,1193,4.4,2737,Smart Sony 54,Không,Cần Thơ,4.8,2024
Galaxy S24,Samsung,Điện thoại,30559774,26281405,14,444,1372,3.6,141,Mega Samsung 21,Không,Đà Nẵng,4.1,2016
PlayStation 5,Sony,Gaming,18690268,11401063,39,274,734,4.7,57,Center Sony 87,Có,Hải Phòng,4.4,2024
EliteBook 840,HP,Laptop,31303103,28798854,8,3135,793,4.1,2811,Digital HP 71,Có,TP.HCM,4.7,2019
XPS 13,Dell,Laptop,27136303,19538138,28,4830,1119,4.6,1614,Mega Dell 93,Có,Đà Nẵng,4.4,2017
iPhone 15,Apple,Điện thoại,39483678,34745636,12,3100,83,4.1,2284,Digital Apple 17,Có,Hải Phòng,4.8,2016
Xiaomi 14,Xiaomi,Điện thoại,15388834,14311615,7,1269,660,4.4,1265,Mega Xiaomi 85,Không,Cần Thơ,4.8,2024
Redmi Note 13,Xiaomi,Điện thoại,26331156,16325316,38,1811,376,4.3,1615,Center Xiaomi 21,Không,Hải Phòng,4.5,2017
Redmi Note 13,Xiaomi,Điện thoại,19317931,14295268,26,2722,738,3.9,2537,Center Xiaomi 61,Có,TP.HCM,4.7,2023
AirPods Pro 2,Apple,Tai nghe,10596195,8476956,20,336,1397,4.8,200,Mega Apple 15,Không,Đà Nẵng,4.5,2020
Galaxy Z Fold5,Samsung,Điện thoại,30163008,19002695,37,4177,912,4.2,2433,Smart Samsung 25,Không,Hải Phòng,4.1,2017
AirPods Pro 2,Apple,Tai nghe,9245709,8783423,5,546,431,4.5,223,Mega Apple 88,Không,TP.HCM,4.2,2022
WH-1000XM5,Sony,Tai nghe,11809900,10156514,14,204,940,4.6,14,Tech Sony 10,Có,Hà Nội,4.8,2024
Galaxy Z Fold5,Samsung,Điện thoại,20277039,16018860,21,3349,794,4.2,1661,Store Samsung 41,Có,Cần Thơ,4.7,2024
Galaxy Z Fold5,Samsung,Điện thoại,9243802,8596735,7,604,732,4.9,113,Digital Samsung 88,Không,Hải Phòng,4.1,2023
Vivobook 15,Asus,Laptop,56340381,52959958,6,3892,320,4.3,563,Smart Asus 51,Không,Hà Nội,4.3,2021
Galaxy Z Fold5,Samsung,Điện thoại,14487439,12748946,12,352,10,4.4,206,Center Samsung 71,Có,Đà Nẵng,4.2,2021
MacBook Air M2,Apple,Laptop,55347729,34869069,37,1176,329,3.8,522,Mobile Apple 15,Có,Hải Phòng,4.9,2024
Zenbook OLED,Asus,Laptop,48887367,44487503,9,2391,1375,3.6,407,Mobile Asus 93,Không,Đà Nẵng,4.4,2019
Galaxy A55,Samsung,Điện thoại,9684794,8038379,17,2613,995,4.2,2529,Smart Samsung 40,Có,Hải Phòng,4.6,2021
ROG Strix G16,Asus,Laptop,12324262,9243196,25,2026,453,4.6,1317,Store Asus 36,Không,Hà Nội,4.7,2021
Vivobook 15,Asus,Laptop,41887467,30577850,27,2512,997,4.3,724,Smart Asus 78,Có,Đà Nẵng,4.9,2018
Inspiron 15,Dell,Laptop,29665378,26995493,9,627,38,4.8,36,Mega Dell 75,Không,Hải Phòng,4.2,2016
XPS 13,Dell,Laptop,48471608,29567680,39,3877,1339,4.7,1503,Store Dell 29,Không,Hà Nội,4.5,2024
Galaxy A55,Samsung,Điện thoại,29418604,18533720,37,96,1357,3.9,83,Smart Samsung 22,Có,Cần Thơ,4.2,2025
Alienware M16,Dell,Gaming,14811252,9627313,35,2949,82,3.8,2002,Mobile Dell 9,Không,Đà Nẵng,4.2,2019
XPS 13,Dell,Laptop,38044487,24728916,35,3734,95,3.6,2661,Digital Dell 14,Không,Đà Nẵng,4.6,2025
MacBook Air M2,Apple,Laptop,55867407,39665858,29,3002,1203,4.5,323,Center Apple 33,Không,Hà Nội,4.5,2021
Victus 16,HP,Laptop,44672726,29037271,35,4959,13,4.3,1143,Store HP 22,Có,TP.HCM,4.5,2020
iPhone 15,Apple,Điện thoại,17543027,14911572,15,2977,1232,4.6,489,Smart Apple 30,Không,Đà Nẵng,4.7,2023
PlayStation 5,Sony,Gaming,37146566,30460184,18,4849,330,4.5,3371,Tech Sony 32,Có,Hà Nội,4.6,2018
AirPods Pro 2,Apple,Tai nghe,8900719,8277668,7,4698,300,3.6,2120,Mobile Apple 67,Không,Hải Phòng,5.0,2016
Xperia 1 V,Sony,Điện thoại,24022317,21620085,10,1784,919,4.4,970,Mega Sony 62,Có,Hà Nội,4.8,2025
AirPods Pro 2,Apple,Tai nghe,3351509,2111450,37,2176,343,4.6,1408,Store Apple 77,Có,Hà Nội,4.4,2018
Galaxy S24,Samsung,Điện thoại,18579381,11519216,38,4141,1401,4.1,1230,Center Samsung 13,Có,Cần Thơ,4.9,2025
Galaxy Z Fold5,Samsung,Điện thoại,38777851,34124508,12,773,987,4.5,622,Center Samsung 1,Không,Hải Phòng,4.4,2016
Xperia 1 V,Sony,Điện thoại,33786767,27367281,19,3959,780,4.0,3300,Smart Sony 98,Có,Cần Thơ,4.1,2023
Pavilion 14,HP,Laptop,17624902,13571174,23,4911,1113,4.1,1553,Tech HP 91,Có,Hải Phòng,4.5,2024
Galaxy A55,Samsung,Điện thoại,18785415,14089061,25,3359,741,3.7,1750,Smart Samsung 75,Không,Đà Nẵng,4.9,2022
XPS 13,Dell,Laptop,53062617,41388841,22,3265,417,4.1,3215,Center Dell 62,Có,Đà Nẵng,4.6,2023
Xiaomi 14,Xiaomi,Điện thoại,28109360,19676552,30,1141,1350,3.7,475,Store Xiaomi 90,Có,TP.HCM,4.2,2022
Victus 16,HP,Laptop,48948544,45032660,8,1326,796,4.9,15,Mega HP 12,Có,Cần Thơ,4.9,2022
Galaxy S24,Samsung,Điện thoại,22655805,18351202,19,3047,163,4.4,2972,Store Samsung 52,Không,Hải Phòng,4.1,2018
PlayStation 5,Sony,Gaming,34458915,32735969,5,1662,1345,4.9,1066,Digital Sony 25,Có,Hải Phòng,4.5,2019
Inspiron 15,Dell,Laptop,57233010,53226699,7,2956,489,4.5,649,Tech Dell 36,Không,Đà Nẵng,4.7,2022
Inspiron 15,Dell,Laptop,46745124,44407867,5,572,184,4.3,361,Digital Dell 36,Có,Hải Phòng,5.0,2023
Zenbook OLED,Asus,Laptop,12312153,9726600,21,1443,833,4.3,1149,Tech Asus 65,Không,Đà Nẵng,4.9,2024
Redmi Buds 5,Xiaomi,Tai nghe,9945118,7856643,21,3637,772,4.3,3158,Mobile Xiaomi 97,Không,Cần Thơ,4.7,2025
Pavilion 14,HP,Laptop,44344470,39023133,12,2122,138,4.1,907,Smart HP 90,Có,Đà Nẵng,4.4,2021
Alienware M16,Dell,Gaming,5652512,4465484,21,2043,588,3.6,1384,Smart Dell 44,Có,Hải Phòng,4.9,2023
Xiaomi 14,Xiaomi,Điện thoại,19667724,15340824,22,1507,1399,4.9,394,Store Xiaomi 95,Có,Hà Nội,4.7,2020
iPhone 15,Apple,Điện thoại,18607433,14885946,20,2926,319,4.7,496,Tech Apple 87,Không,Hải Phòng,4.0,2024
Galaxy A55,Samsung,Điện thoại,29910577,22432932,25,4043,1176,4.8,2015,Mobile Samsung 98,Không,Cần Thơ,4.2,2025
iPhone 15,Apple,Điện thoại,33398851,21709253,35,4439,66,4.3,3230,Mega Apple 88,Có,Cần Thơ,5.0,2024
Vivobook 15,Asus,Laptop,58252137,55339530,5,106,1380,3.8,79,Tech Asus 42,Không,Hải Phòng,4.9,2018
XPS 13,Dell,Laptop,27914139,21773028,22,3871,1255,4.0,758,Store Dell 55,Có,Cần Thơ,4.7,2021
Xiaomi 14,Xiaomi,Điện thoại,23765620,15922965,33,1483,1170,3.7,1184,Smart Xiaomi 30,Có,Đà Nẵng,4.8,2024
Vivobook 15,Asus,Laptop,25157579,21635517,14,1235,968,4.7,366,Store Asus 64,Có,Hải Phòng,4.5,2021
Victus 16,HP,Laptop,32134953,25386612,21,4615,1162,3.6,815,Smart HP 21,Có,Hà Nội,4.8,2023
EliteBook 840,HP,Laptop,18462710,12370015,33,2751,532,4.0,2300,Center HP 33,Không,TP.HCM,4.4,2021
EliteBook 840,HP,Laptop,52639519,43690800,17,4735,1179,4.5,4415,Mobile HP 37,Không,Đà Nẵng,4.7,2023
EliteBook 840,HP,Laptop,41992972,37793674,10,3131,1256,3.9,2592,Mobile HP 22,Không,Cần Thơ,4.6,2025
ROG Strix G16,Asus,Laptop,17309111,14712744,15,2824,467,4.0,2679,Digital Asus 91,Không,Hải Phòng,4.6,2020
Vivobook 15,Asus,Laptop,51387519,31860261,38,3698,847,3.8,3503,Tech Asus 17,Có,Đà Nẵng,4.9,2017
iPhone 15,Apple,Điện thoại,31645278,28164297,11,792,130,4.9,489,Center Apple 7,Có,Cần Thơ,4.5,2017
Galaxy A55,Samsung,Điện thoại,15420286,13878257,10,3203,633,3.8,3026,Digital Samsung 57,Có,Hà Nội,4.5,2018
Galaxy S24,Samsung,Điện thoại,28947210,21710407,25,3910,956,5.0,2219,Digital Samsung 71,Không,Hà Nội,5.0,2024
AirPods Pro 2,Apple,Tai nghe,10325799,6815027,34,4630,890,4.3,4377,Digital Apple 45,Không,Hải Phòng,4.2,2017
Vivobook 15,Asus,Laptop,36547303,25217639,31,2138,318,4.0,5,Center Asus 98,Có,Đà Nẵng,4.3,2024
Galaxy Z Fold5,Samsung,Điện thoại,38012974,24708433,35,2464,18,4.6,1204,Center Samsung 30,Có,Hải Phòng,4.4,2022
XPS 13,Dell,Laptop,38491363,30793090,20,1347,1464,4.6,803,Mega Dell 49,Có,Đà Nẵng,4.1,2019
Alienware M16,Dell,Gaming,23244559,17898310,23,4367,550,4.1,565,Mobile Dell 18,Không,TP.HCM,4.6,2025
Vivobook 15,Asus,Laptop,59007920,37765068,36,1548,656,3.5,106,Center Asus 3,Có,TP.HCM,4.3,2018
PlayStation 5,Sony,Gaming,5550567,4495959,19,748,308,3.5,227,Digital Sony 54,Không,Cần Thơ,5.0,2023
WH-1000XM5,Sony,Tai nghe,5840652,5256586,10,1206,114,3.9,808,Tech Sony 70,Không,Hà Nội,4.2,2020
Victus 16,HP,Laptop,12846611,11305017,12,2049,788,4.7,912,Mobile HP 95,Có,Hà Nội,4.5,2017
Alienware M16,Dell,Gaming,18988650,12342622,35,3197,1395,4.9,1328,Mobile Dell 81,Có,Hải Phòng,4.5,2020
Zenbook OLED,Asus,Laptop,32053006,26603994,17,2962,106,4.8,897,Tech Asus 31,Không,Đà Nẵng,4.0,2020
