STT;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong;Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ;Tong_Hang ;Tong_Thanh_Toan ;Tan_suat_mua_hang ;Thuong_Hieu;Danh_Muc
1978;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP011;Tai nghe AirPods 3;Đồ điện tử;5;3.990.000;15;2.992.000;19.950.000;18.699.000;20;Apple;Tai nghe
1979;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP023;Apple Watch SE;Đồ điện tử;3;5.990.000;2;3.594.000;17.970.000;15.832.000;20;Apple;Đồng hồ thông minh
1980;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP002;Samsung Galaxy S24;Đồ điện tử;1;18.990.000;12;2.279.000;18.990.000;18.427.000;20;Samsung;Điện thoại
1981;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;1;990;0;0;990;1.124.000;14;Xiaomi;Tai nghe
1982;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP023;Apple Watch SE;Đồ điện tử;4;5.990.000;15;3.594.000;23.960.000;22.421.000;20;Apple;Đồng hồ thông minh
1983;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP019;Bàn phím Logitech K380;Đồ điện tử;1;690;1;69;690;723;12;Logitech;Phụ kiện
1984;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP024;Samsung Galaxy Watch6;Đồ điện tử;3;5.490.000;15;2.470.000;16.470.000;15.422.000;7;Samsung;Đồng hồ thông minh
1985;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;12;1.919.000;15.990.000;15.500.000;20;HP;Laptop
1986;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP015;Smart TV Samsung 43 inch;Đồ điện tử;1;7.990.000;5;400;7.990.000;8.379.000;20;Samsung;Tivi
1987;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP005;Xiaomi Redmi Note 13;Đồ điện tử;1;4.990.000;3;150;4.990.000;5.352.000;20;Xiaomi;Điện thoại
1988;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP018;Chuột Logitech M331;Đồ điện tử;3;390;7;82;1.170.000;1.232.000;19;Logitech;Phụ kiện
1989;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;7;83;1.190.000;1.236.000;11;Kingston;Linh kiện
1990;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP025;Máy in Canon LBP 2900;Đồ điện tử;3;4.290.000;2;2.574.000;12.870.000;11.356.000;20;Canon;Máy in
1991;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP023;Apple Watch SE;Đồ điện tử;2;5.990.000;15;1.797.000;11.980.000;11.219.000;20;Apple;Đồng hồ thông minh
1992;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;2;2.398.000;11.990.000;10.576.000;20;LG;Tivi
1993;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP023;Apple Watch SE;Đồ điện tử;2;5.990.000;12;1.438.000;11.980.000;11.621.000;20;Apple;Đồng hồ thông minh
1994;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP021;Sạc nhanh Anker 20W;Đồ điện tử;6;350;15;315;2.100.000;2.008.000;20;Anker;Phụ kiện
1995;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP002;Samsung Galaxy S24;Đồ điện tử;8;18.990.000;0;0;151.920.000;167.140.000;20;Samsung;Điện thoại
1996;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;4;4.590.000;5;918;18.360.000;19.211.000;20;Samsung;Điện thoại
1997;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP018;Chuột Logitech M331;Đồ điện tử;2;390;12;94;780;790;20;Logitech;Phụ kiện
1998;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;7;839;11.990.000;12.288.000;20;LG;Tivi
1999;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP004;iPhone 14;Đồ điện tử;5;16.990.000;15;12.742.000;84.950.000;79.474.000;6;Apple;Điện thoại
2000;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;2;1.598.000;7.990.000;7.059.000;1;Xiaomi;Máy tính bảng
2001;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;2;1.190.000;0;0;2.380.000;2.643.000;20;Kingston;Linh kiện
2002;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP004;iPhone 14;Đồ điện tử;2;16.990.000;1;3.398.000;33.980.000;33.658.000;11;Apple;Điện thoại
2003;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;1;1.299.000;12.990.000;12.882.000;20;Asus;Laptop
2004;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP006;Xiaomi Pad 6;Đồ điện tử;2;7.990.000;5;799;15.980.000;16.744.000;1;Xiaomi;Máy tính bảng
2005;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP018;Chuột Logitech M331;Đồ điện tử;1;390;0;0;390;464;20;Logitech;Phụ kiện
2006;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP022;Cáp sạc Type-C Anker;Đồ điện tử;2;190;2;76;380;369;20;Anker;Phụ kiện
2007;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP025;Máy in Canon LBP 2900;Đồ điện tử;1;4.290.000;2;858;4.290.000;3.820.000;20;Canon;Máy in
2008;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;15;2.398.000;15.990.000;14.979.000;20;HP;Laptop
2009;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP009;Laptop HP Pavilion 14;Đồ điện tử;4;15.990.000;15;9.594.000;63.960.000;59.843.000;20;HP;Laptop
2010;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP016;Smart TV LG 55 inch;Đồ điện tử;4;11.990.000;12;5.755.000;47.960.000;46.460.000;20;LG;Tivi
2011;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP019;Bàn phím Logitech K380;Đồ điện tử;2;690;0;0;1.380.000;1.558.000;20;Logitech;Phụ kiện
2012;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;2;4.590.000;0;0;9.180.000;10.133.000;20;Samsung;Điện thoại
2013;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP015;Smart TV Samsung 43 inch;Đồ điện tử;1;7.990.000;1;799;7.990.000;7.932.000;20;Samsung;Tivi
2014;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350;1;35;350;372;20;Anker;Phụ kiện
2015;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;2;1.190.000;12;286;2.380.000;2.325.000;6;JBL;Loa
2016;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP005;Xiaomi Redmi Note 13;Đồ điện tử;5;4.990.000;12;2.994.000;24.950.000;24.170.000;20;Xiaomi;Điện thoại
2017;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP021;Sạc nhanh Anker 20W;Đồ điện tử;2;350;2;140;700;641;20;Anker;Phụ kiện
2018;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP024;Samsung Galaxy Watch6;Đồ điện tử;2;5.490.000;2;2.196.000;10.980.000;9.707.000;10;Samsung;Đồng hồ thông minh
2019;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;5;1.200.000;23.990.000;25.091.000;20;Apple;Laptop
2020;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP011;Tai nghe AirPods 3;Đồ điện tử;8;3.990.000;5;1.596.000;31.920.000;33.381.000;20;Apple;Tai nghe
2021;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP008;Laptop Dell Inspiron 15;Đồ điện tử;2;13.990.000;0;0;27.980.000;30.796.000;1;Dell;Laptop
2022;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP011;Tai nghe AirPods 3;Đồ điện tử;2;3.990.000;0;0;7.980.000;8.818.000;2;Apple;Tai nghe
2023;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP023;Apple Watch SE;Đồ điện tử;5;5.990.000;2;5.990.000;29.950.000;26.374.000;4;Apple;Đồng hồ thông minh
2024;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP022;Cáp sạc Type-C Anker;Đồ điện tử;3;190;3;17;570;636;3;Anker;Phụ kiện
2025;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;0;0;15.990.000;17.619.000;20;HP;Laptop
2026;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP026;Camera Xiaomi C300;Đồ điện tử;2;990;0;0;1.980.000;2.200.000;20;Xiaomi;Camera
2027;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP002;Samsung Galaxy S24;Đồ điện tử;1;18.990.000;2;3.798.000;18.990.000;16.756.000;19;Samsung;Điện thoại
2028;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350;0;0;350;410;20;Anker;Phụ kiện
2029;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;2;7.990.000;7;1.119.000;15.980.000;16.365.000;20;Xiaomi;Máy tính bảng
2030;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP017;Màn hình Dell 24 inch;Đồ điện tử;2;3.290.000;2;1.316.000;6.580.000;5.835.000;10;Dell;Màn hình
2031;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP002;Samsung Galaxy S24;Đồ điện tử;4;18.990.000;5;3.798.000;75.960.000;79.403.000;20;Samsung;Điện thoại
2032;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP004;iPhone 14;Đồ điện tử;1;16.990.000;2;3.398.000;16.990.000;14.976.000;20;Apple;Điện thoại
2033;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP018;Chuột Logitech M331;Đồ điện tử;2;390;0;0;780;883;20;Logitech;Phụ kiện
2034;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP018;Chuột Logitech M331;Đồ điện tử;3;390;5;58;1.170.000;1.263.000;20;Logitech;Phụ kiện
2035;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;1;19.990.000;0;0;19.990.000;22.024.000;20;Apple;Điện thoại
2036;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP018;Chuột Logitech M331;Đồ điện tử;1;390;2;78;390;361;20;Logitech;Phụ kiện
2037;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP025;Máy in Canon LBP 2900;Đồ điện tử;4;4.290.000;3;515;17.160.000;18.354.000;20;Canon;Máy in
2038;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP023;Apple Watch SE;Đồ điện tử;1;5.990.000;12;719;5.990.000;5.833.000;20;Apple;Đồng hồ thông minh
2039;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP015;Smart TV Samsung 43 inch;Đồ điện tử;4;7.990.000;1;3.196.000;31.960.000;31.668.000;20;Samsung;Tivi
2040;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;12;1.559.000;12.990.000;12.592.000;20;Asus;Laptop
2041;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP009;Laptop HP Pavilion 14;Đồ điện tử;4;15.990.000;0;0;63.960.000;70.374.000;1;HP;Laptop
2042;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP017;Màn hình Dell 24 inch;Đồ điện tử;5;3.290.000;0;0;16.450.000;18.140.000;20;Dell;Màn hình
2043;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP008;Laptop Dell Inspiron 15;Đồ điện tử;2;13.990.000;0;0;27.980.000;30.813.000;16;Dell;Laptop
2044;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP003;iPhone 15;Đồ điện tử;1;19.990.000;0;0;19.990.000;22.024.000;20;Apple;Điện thoại
2045;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP024;Samsung Galaxy Watch6;Đồ điện tử;1;5.490.000;0;0;5.490.000;6.061.000;20;Samsung;Đồng hồ thông minh
2046;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;1;1.299.000;12.990.000;12.878.000;20;Asus;Laptop
2047;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;2;1.190.000;0;0;2.380.000;2.643.000;20;Kingston;Linh kiện
2048;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP018;Chuột Logitech M331;Đồ điện tử;1;390;2;78;390;371;20;Logitech;Phụ kiện
2049;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;3;1.190.000;0;0;3.570.000;3.962.000;20;Kingston;Linh kiện
2050;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP017;Màn hình Dell 24 inch;Đồ điện tử;1;3.290.000;0;0;3.290.000;3.637.000;1;Dell;Màn hình
2051;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP016;Smart TV LG 55 inch;Đồ điện tử;3;11.990.000;0;0;35.970.000;39.585.000;3;LG;Tivi
2052;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP019;Bàn phím Logitech K380;Đồ điện tử;1;690;12;83;690;686;20;Logitech;Phụ kiện
2053;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP026;Camera Xiaomi C300;Đồ điện tử;2;990;1;198;1.980.000;1.988.000;20;Xiaomi;Camera
2054;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP024;Samsung Galaxy Watch6;Đồ điện tử;4;5.490.000;0;0;21.960.000;24.201.000;15;Samsung;Đồng hồ thông minh
2055;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP015;Smart TV Samsung 43 inch;Đồ điện tử;2;7.990.000;7;1.119.000;15.980.000;16.369.000;6;Samsung;Tivi
2056;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;12;2.879.000;23.990.000;23.257.000;20;Apple;Laptop
2057;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;3;480;15.990.000;17.086.000;20;HP;Laptop
2058;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP006;Xiaomi Pad 6;Đồ điện tử;3;7.990.000;12;2.876.000;23.970.000;23.233.000;9;Xiaomi;Máy tính bảng
2059;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP009;Laptop HP Pavilion 14;Đồ điện tử;2;15.990.000;0;0;31.980.000;35.208.000;20;HP;Laptop
2060;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP022;Cáp sạc Type-C Anker;Đồ điện tử;4;190;0;0;760;858;20;Anker;Phụ kiện
2061;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;2;1.590.000;15;477;3.180.000;3.003.000;1;Samsung;Tai nghe
2062;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;1;990;3;30;990;1.091.000;20;Xiaomi;Tai nghe
2063;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP002;Samsung Galaxy S24;Đồ điện tử;4;18.990.000;0;0;75.960.000;83.578.000;20;Samsung;Điện thoại
2064;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP017;Màn hình Dell 24 inch;Đồ điện tử;2;3.290.000;3;197;6.580.000;7.043.000;20;Dell;Màn hình
2065;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP018;Chuột Logitech M331;Đồ điện tử;1;390;5;20;390;447;20;Logitech;Phụ kiện
2066;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP015;Smart TV Samsung 43 inch;Đồ điện tử;4;7.990.000;1;3.196.000;31.960.000;31.670.000;20;Samsung;Tivi
2067;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP003;iPhone 15;Đồ điện tử;1;19.990.000;5;1.000.000;19.990.000;20.917.000;20;Apple;Điện thoại
2068;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190;2;38;190;207;20;Anker;Phụ kiện
2069;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;3;138;4.590.000;4.932.000;20;Samsung;Điện thoại
2070;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP023;Apple Watch SE;Đồ điện tử;2;5.990.000;0;0;11.980.000;13.213.000;20;Apple;Đồng hồ thông minh
2071;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;0;0;1.190.000;1.339.000;20;Kingston;Linh kiện
2072;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP008;Laptop Dell Inspiron 15;Đồ điện tử;5;13.990.000;2;13.990.000;69.950.000;61.584.000;20;Dell;Laptop
2073;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP024;Samsung Galaxy Watch6;Đồ điện tử;2;5.490.000;2;2.196.000;10.980.000;9.684.000;20;Samsung;Đồng hồ thông minh
2074;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP016;Smart TV LG 55 inch;Đồ điện tử;2;11.990.000;1;2.398.000;23.980.000;23.780.000;20;LG;Tivi
2075;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;4;990;1;396;3.960.000;3.960.000;20;Xiaomi;Tai nghe
2076;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP018;Chuột Logitech M331;Đồ điện tử;1;390;15;58;390;400;20;Logitech;Phụ kiện
2077;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;8;1.190.000;2;1.904.000;9.520.000;8.408.000;20;Kingston;Linh kiện
2078;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP021;Sạc nhanh Anker 20W;Đồ điện tử;2;350;0;0;700;798;20;Anker;Phụ kiện
2079;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP018;Chuột Logitech M331;Đồ điện tử;3;390;0;0;1.170.000;1.305.000;20;Logitech;Phụ kiện
2080;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP019;Bàn phím Logitech K380;Đồ điện tử;1;690;0;0;690;804;20;Logitech;Phụ kiện
2081;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP005;Xiaomi Redmi Note 13;Đồ điện tử;2;4.990.000;12;1.198.000;9.980.000;9.705.000;20;Xiaomi;Điện thoại
2082;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP011;Tai nghe AirPods 3;Đồ điện tử;1;3.990.000;0;0;3.990.000;4.411.000;20;Apple;Tai nghe
2083;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP024;Samsung Galaxy Watch6;Đồ điện tử;2;5.490.000;3;329;10.980.000;11.761.000;20;Samsung;Đồng hồ thông minh
2084;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP007;MacBook Air M2;Đồ điện tử;4;23.990.000;12;11.515.000;95.960.000;92.907.000;20;Apple;Laptop
2085;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP005;Xiaomi Redmi Note 13;Đồ điện tử;1;4.990.000;0;0;4.990.000;5.529.000;1;Xiaomi;Điện thoại
2086;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;6;1.190.000;0;0;7.140.000;7.872.000;20;Kingston;Linh kiện
2087;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP010;Laptop Asus Vivobook 15;Đồ điện tử;8;12.990.000;1;10.392.000;103.920.000;102.903.000;20;Asus;Laptop
2088;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP004;iPhone 14;Đồ điện tử;2;16.990.000;0;0;33.980.000;37.423.000;20;Apple;Điện thoại
2089;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;6;19.990.000;7;8.396.000;119.940.000;122.723.000;15;Apple;Điện thoại
2090;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP019;Bàn phím Logitech K380;Đồ điện tử;1;690;12;83;690;708;20;Logitech;Phụ kiện
2091;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;2;918;4.590.000;4.079.000;2;Samsung;Điện thoại
2092;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;2;2.398.000;11.990.000;10.586.000;20;LG;Tivi
2093;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP005;Xiaomi Redmi Note 13;Đồ điện tử;1;4.990.000;2;998;4.990.000;4.436.000;1;Xiaomi;Điện thoại
2094;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP023;Apple Watch SE;Đồ điện tử;1;5.990.000;0;0;5.990.000;6.607.000;7;Apple;Đồng hồ thông minh
2095;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350;0;0;350;407;20;Anker;Phụ kiện
2096;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP019;Bàn phím Logitech K380;Đồ điện tử;2;690;1;138;1.380.000;1.388.000;20;Logitech;Phụ kiện
2097;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP017;Màn hình Dell 24 inch;Đồ điện tử;1;3.290.000;0;0;3.290.000;3.644.000;1;Dell;Màn hình
2098;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;0;0;4.590.000;5.071.000;20;Samsung;Điện thoại
2099;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;15;688;4.590.000;4.322.000;1;Samsung;Điện thoại
