STT;Ma_ky_bao_cao;Nam_bao_cao;Tuan_bao_cao;Loai_luong_(XNK);Ten_nuoc_doi_tac;Mo_hang_hoa;Don_vi_so_luong;So_luong;So_luong_thay_the;Trong_luong_tinh_kg;Gia_tri_CIF_(USD);Gia_tri_FOB_(USD);Gia_tri_chinh_(USD)
2771;20170101;2017;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2918;2918;1722,832;434931,37;0;434931,37
2830;20170101;2017;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;2751,355;0;825;354002;350639;354002
2834;20170101;2017;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;17831;17831;6284;485679,99;0;485679,99
2836;20170101;2017;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;59,53;59,53;59,53;36960,15;0;36960,15
2851;20170101;2017;52;Nhập khẩu;Nam Phi;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;1512,339;0;548,194;278024,345;0;278024,345
2852;20170101;2017;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;14813;14813;1075;506719;483271;506719
2861;20170101;2017;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;68883;68883;64901;4511549;4354962;4511549
2862;20170101;2017;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;68882;68882;64890;4511091;4354523;4511091
2864;20170101;2017;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;533;533;8681;205543,33;0;205543,33
2866;20170101;2017;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;16014;16014;20490;674903,68;0;674903,68
2892;20170101;2017;52;Xuất khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;115;115;90;0;7150;7150
2896;20170101;2017;52;Xuất khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;148;148;7771;0;182043;182043
2902;20170101;2017;52;Xuất khẩu;Thế giới;Mạch tích hợp điện tử;chiếc/đơn vị;81604,763;0;188;0;341033,61;341033,61
2906;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;6758;6758;2565,525;848951,89;0;848951,89
2910;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;219377;31702,351;29613047,54;0;29613047,54
2920;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;36006;36006;18260,26;4241913,68;3930544,63;4241913,68
2922;20180101;2018;52;Nhập khẩu;Malaysia;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;643;643;325;34416,17;31026,37;34416,17
2923;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;33371;33371;16962,9;4109362;3811310,99;4109362
2924;20180101;2018;52;Nhập khẩu;Thái Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1980;1980;953,71;96335,26;86590,46;96335,26
2966;20180101;2018;52;Nhập khẩu;Israel;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;44;44;5,04;3475,96;3337,66;3475,96
2967;20180101;2018;52;Nhập khẩu;Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;1,13;1,13;1,13;610,74;603,11;610,74
2972;20180101;2018;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;67032;67032;11756;1441200;0;1441200
2974;20180101;2018;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;15822;15822;19334,03;1444747,99;1437930,69;1444747,99
2976;20180101;2018;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;254;254;157;11000;0;11000
2978;20180101;2018;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;635231;635231;196102,31;11248776,82;10990716,59;11248776,82
2979;20180101;2018;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;402612;402612;14916,81;527060,3;516410,52;527060,3
2980;20180101;2018;52;Nhập khẩu;Hàn Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;39504;39504;2545,69;107441,9;105499,29;107441,9
2981;20180101;2018;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;193115;193115;178639,81;10614274,62;10368806,78;10614274,62
2984;20180101;2018;52;Nhập khẩu;Thế giới;Mạch tích hợp điện tử;chiếc/đơn vị;18126437;18126437;458607,7;14600721,54;14208607,71;14600721,54
2985;20180101;2018;52;Nhập khẩu;Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;4889284;4889284;38469,52;1348996,96;1312590,62;1348996,96
2986;20180101;2018;52;Nhập khẩu;Hồng Kông (Trung Quốc);Mạch tích hợp điện tử;chiếc/đơn vị;423000;423000;1705,67;51193,94;49724,2;51193,94
2987;20180101;2018;52;Nhập khẩu;Nhật Bản;Mạch tích hợp điện tử;chiếc/đơn vị;1911500;1911500;2124,65;67429,33;65666,22;67429,33
2988;20180101;2018;52;Nhập khẩu;Hàn Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;4546561;4546561;322494,74;10145194,72;9866315,99;10145194,72
2990;20180101;2018;52;Nhập khẩu;Châu Á khác (chưa xác định);Mạch tích hợp điện tử;chiếc/đơn vị;4159500;4159500;62253,03;2077944,94;2026377,04;2077944,94
2991;20180101;2018;52;Nhập khẩu;Philippines;Mạch tích hợp điện tử;chiếc/đơn vị;364000;364000;3543,82;105614,04;102913,49;105614,04
2992;20180101;2018;52;Nhập khẩu;Singapore;Mạch tích hợp điện tử;chiếc/đơn vị;82500;82500;361,17;10654,69;10345,5;10654,69
2993;20180101;2018;52;Nhập khẩu;Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;81226;81226;894,54;28833,18;27122,57;28833,18
2994;20180101;2018;52;Nhập khẩu;Thái Lan;Mạch tích hợp điện tử;chiếc/đơn vị;894866;894866;24117,5;683929,18;668960,09;683929,18
2995;20180101;2018;52;Nhập khẩu;Vương quốc Anh;Mạch tích hợp điện tử;chiếc/đơn vị;147000;147000;443,22;15179,25;14583,39;15179,25
2996;20180101;2018;52;Nhập khẩu;Khu vực khác (chưa xác định);Mạch tích hợp điện tử;chiếc/đơn vị;619000;619000;2198,46;64790,38;63082;64790,38
3004;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1065495;1065495;559819,556;0;137955227,4;137955227,4
3007;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Malaysia;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2514;2514;597,803;0;181978,002;181978,002
3010;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1056412;1056412;556805,139;0;137040261,8;137040261,8
3011;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Thái Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;6421;6421;2294,809;0;698565,921;698565,921
3045;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Philippines;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;1524,76;0;466,51;0;131559,487;131559,487
3048;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;36767;36767;10512,077;0;3487109,527;3487109,527
3050;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Châu Á khác (chưa xác định);Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;99;99;26,531;0;8798,577;8798,577
3051;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;36000;36000;10215,936;0;3388897,866;3388897,866
3052;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Khu vực khác (chưa xác định);Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;68;68;230,366;0;76398,169;76398,169
3053;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;30443;30443;220769,09;0;8938439,157;8938439,157
3055;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;30441;30441;220748,866;0;8937523,635;8937523,635
3057;20180101;2018;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;6697;6697;0;0;12497,715;12497,715
3066;20180101;2018;52;Nhập khẩu;Thế giới;Máy in, máy photocopy, máy fax và phụ tùng;Cái;0;18207;133346,79;2068373,84;2017729,46;2068373,84
3067;20180101;2018;52;Nhập khẩu;Nhật Bản;Máy in, máy photocopy, máy fax và phụ tùng;kg;11418,58;4774;11418,58;324801,41;315635,23;324801,41
3068;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy in, máy photocopy, máy fax và phụ tùng;Cái;0;13433;121928,21;1743572,43;1702094,23;1743572,43
3069;20180101;2018;52;Nhập khẩu;Thế giới;Máy in, máy photocopy, máy fax và phụ tùng;kg;4300;4300;4300;1192,672;0;1192,672
3076;20180101;2018;52;Nhập khẩu;Ý;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;755;755;8936;38431,786;0;38431,786
3078;20180101;2018;52;Nhập khẩu;Vương quốc Anh;Máy in, máy photocopy, máy fax và phụ tùng;kg;11178;11178;11178;195830,516;0;195830,516
3088;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;91054;91054;58356,93;11578312,55;11119411,54;11578312,55
3092;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;7514;7514;10997;886648,454;0;886648,454
3093;20180101;2018;52;Nhập khẩu;Áo;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;230;230;155;33019,474;0;33019,474
3094;20180101;2018;52;Nhập khẩu;Bỉ;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2037;2037;5531;83456,838;0;83456,838
3095;20180101;2018;52;Nhập khẩu;Séc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;39;39;40;16166,079;0;16166,079
3096;20180101;2018;52;Nhập khẩu;Đức;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;119;119;84;19701,856;0;19701,856
3097;20180101;2018;52;Nhập khẩu;Hy Lạp;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1326;1326;2410;189778,127;0;189778,127
3098;20180101;2018;52;Nhập khẩu;Hungary;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;260;260;139;33937,075;0;33937,075
3099;20180101;2018;52;Nhập khẩu;Ý;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;917;917;660;190425,29;0;190425,29
3100;20180101;2018;52;Nhập khẩu;Hà Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;149;149;175;8239,516;0;8239,516
3101;20180101;2018;52;Nhập khẩu;Ba Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;865;865;560;130403,303;0;130403,303
3102;20180101;2018;52;Nhập khẩu;Slovenia;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1572;1572;1243;181520,896;0;181520,896
3103;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;5779;5779;3835,948;4768489;4539678;4768489
3105;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;5769;5769;3831,948;4768165;4539369;4768165
3106;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1338;1338;729,39;0;257232,77;257232,77
3107;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1238;1238;698;0;247029,44;247029,44
3183;20180101;2018;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;1034098;332402,99;149092233,6;146851588,3;149092233,6
3184;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;899;899;293,97;123288,86;121452,02;123288,86
3185;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;1033199;332109,02;148968944,7;146730136,3;148968944,7
3187;20180101;2018;52;Nhập khẩu;Bỉ;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;226;226;197;11132,853;0;11132,853
3190;20180101;2018;52;Nhập khẩu;Đức;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;1044;1044;693;26356,531;0;26356,531
3192;20180101;2018;52;Nhập khẩu;Ý;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;3041;3041;2020;66745,158;0;66745,158
3194;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;22132;22132;9242;11150019,71;0;11150019,71
3199;20180101;2018;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;55763;55763;22341,45;0;17111477,06;17111477,06
3200;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;45875;45875;19293,4;0;14178869,69;14178869,69
3203;20180101;2018;52;Nhập khẩu;Panama;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;401;401;306,95;0;280362,49;280362,49
3204;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;8527;8527;2726,1;0;2390885,12;2390885,12
3210;20180101;2018;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;1683;1683;767,02;121176,84;114813,22;121176,84
3215;20180101;2018;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;252110;252110;225858,2;7433707,1;7116737,53;7433707,1
3217;20180101;2018;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;3425;3425;5489;260537,348;0;260537,348
3220;20180101;2018;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;3030;3030;1952;124786,685;0;124786,685
3221;20180101;2018;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;42770;42770;39372;2421123;2237768;2421123
3222;20180101;2018;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;1050;1050;525;33417;30911;33417
3223;20180101;2018;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;41720;41720;38847;2387706;2206857;2387706
3229;20180101;2018;52;Nhập khẩu;Thế giới;Mạch tích hợp điện tử;chiếc/đơn vị;567;567;161,86;2572,6;1629,12;2572,6
3230;20180101;2018;52;Nhập khẩu;Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;552;552;156,92;1191;428,6;1191
3238;20180101;2018;52;Nhập khẩu;Thế giới;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;864;864;7430,4;102165,18;100310,4;102165,18
3241;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy in, máy photocopy, máy fax và phụ tùng;kg;9,478;0;9,478;650,987;0;650,987
3244;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;15448;15448;3229,721;1672061,073;1619590,2;1672061,073
3279;20180101;2018;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;53343;53343;16532,38;9368488,787;9237170,64;9368488,787
3282;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;45717;45717;14409,98;8308877,807;8199410,14;8308877,807
3283;20180101;2018;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;2126,9;2126,9;2126,9;105428,036;0;105428,036
3291;20180101;2018;52;Nhập khẩu;Châu Á khác (chưa xác định);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;31,216;0;0;5713,561;0;5713,561
3303;20180101;2018;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;264280;264280;2174395,374;40559186,15;39153270,61;40559186,15
3309;20180101;2018;52;Nhập khẩu;Thế giới;Mạch tích hợp điện tử;Cái;0;66491140;13615,744;5088054,407;5036194,549;5088054,407
3319;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy in, máy photocopy, máy fax và phụ tùng;kg;42617;42617;42617;978862,435;0;978862,435
3321;20180101;2018;52;Nhập khẩu;Hàn Quốc;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;1350;1350;318;70081,996;0;70081,996
3322;20180101;2018;52;Nhập khẩu;Philippines;Máy in, máy photocopy, máy fax và phụ tùng;kg;4977;4977;4977;48567,459;0;48567,459
3324;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1807762;1807762;753177,435;290586644,7;0;290586644,7
3325;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;82;82;22;23342,948;0;23342,948
3327;20180101;2018;52;Nhập khẩu;Singapore;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;21214;21214;2603;482047,296;0;482047,296
3328;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1786457;1786457;750496,435;290064233;0;290064233
3376;20180101;2018;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;7246;7246;2897;1593620,705;0;1593620,705
3378;20180101;2018;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;7241;7241;2895;1591387,162;0;1591387,162
3380;20180101;2018;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;174846;174846;241252;34208798,37;0;34208798,37
3382;20180101;2018;52;Nhập khẩu;Hàn Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;158;158;241;38553,72;0;38553,72
3383;20180101;2018;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;174684;174684;240991;34168624,12;0;34168624,12
3387;20180101;2018;52;Nhập khẩu;Bỉ;Mạch tích hợp điện tử;chiếc/đơn vị;627587;627587;18;214117,779;0;214117,779
3391;20180101;2018;52;Nhập khẩu;Malaysia;Mạch tích hợp điện tử;chiếc/đơn vị;3593000;3593000;34;319078,957;0;319078,957
3406;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;41597;41597;34920;8674891,283;0;8674891,283
3408;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;41596;41596;34892;8672867,128;0;8672867,128
3430;20180101;2018;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;4,447;0;3;1208,938;0;1208,938
3434;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;497987,234;0;217384,083;132713539,1;0;132713539,1
3458;20180101;2018;52;Nhập khẩu;Thế giới;Máy in, máy photocopy, máy fax và phụ tùng;Cái;0;9220;94813,36;1390783,34;1362538,23;1390783,34
3459;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;709;709;5608,61;89543,46;86780,32;89543,46
3460;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy in, máy photocopy, máy fax và phụ tùng;Cái;0;8511;89204,75;1301239,88;1275757,91;1301239,88
3462;20180101;2018;52;Nhập khẩu;Bỉ;Máy in, máy photocopy, máy fax và phụ tùng;kg;251;251;251;10231,268;0;10231,268
3464;20180101;2018;52;Nhập khẩu;Pháp;Máy in, máy photocopy, máy fax và phụ tùng;kg;162,684;0;162,684;3554,442;0;3554,442
3471;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;176;176;417;22395,91;20342,066;22395,91
3473;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;36;36;930;61388,123;0;61388,123
3477;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2977;2977;8650,28;787575,38;761884,15;787575,38
3480;20180101;2018;52;Nhập khẩu;Bỉ;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;29,011;0;18,84;9291,602;0;9291,602
3482;20180101;2018;52;Nhập khẩu;Đức;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1181,233;0;2887,755;215496,457;0;215496,457
3484;20180101;2018;52;Nhập khẩu;Hà Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2791,144;0;3989,526;426461,029;0;426461,029
3485;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;33684,683;0;45136;15987373,65;0;15987373,65
3487;20180101;2018;52;Nhập khẩu;Vương quốc Anh;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;0,42;0;6;199,502;0;199,502
3545;20180101;2018;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;76791;22443,44;8271351,05;8045572,88;8271351,05
3546;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;240;240;24;127267,82;126149,6;127267,82
3547;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;76551;22419,44;8144083,23;7919423,28;8144083,23
3549;20180101;2018;52;Nhập khẩu;Phần Lan;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;4537,243;0;5701;1029795,389;0;1029795,389
3558;20180101;2018;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;529;529;25551;1280187,745;0;1280187,745
3573;20180101;2018;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;34;34;560,47;35290,23;31758,29;35290,23
3581;20180101;2018;52;Nhập khẩu;Ba Lan;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;431,677;0;2275;144419,422;0;144419,422
3583;20180101;2018;52;Nhập khẩu;Tây Ban Nha;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;29,139;0;172,237;9711,855;0;9711,855
3589;20180101;2018;52;Nhập khẩu;Hà Lan;Mạch tích hợp điện tử;chiếc/đơn vị;52787,934;0;598,546;140720,96;0;140720,96
3595;20180101;2018;52;Xuất khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;676;676;2868;0;630708,388;630708,388
3611;20180101;2018;52;Xuất khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;590;590;180;0;182651,868;182651,868
3624;20180101;2018;52;Nhập khẩu;Thế giới;Máy in, máy photocopy, máy fax và phụ tùng;kg;1755531;1755531;1755531;26460036;25993061;26460036
3631;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;13542;13542;124280;7258735,224;7232793,169;7258735,224
3632;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;759;759;26;4336,763;4157,512;4336,763
3635;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;12709;12709;124194;7236937,745;7211896,098;7236937,745
3636;20180101;2018;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1950;1950;1216,29;328683,11;0;328683,11
3637;20180101;2018;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1700;1700;1043,79;281736,73;0;281736,73
3659;20180101;2018;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;25288,883;0;30981;5906304;5739745;5906304
3660;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;6992,298;0;3930;1587007;1558454;1587007
3661;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;18296,585;0;27051;4319297;4181291;4319297
3663;20180101;2018;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;0,186;0;0,186;47,741;47,741;47,741
3664;20180101;2018;52;Nhập khẩu;Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;701;701;701;263120,891;261261,921;263120,891
3668;20180101;2018;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;66912;66912;1319;676730,646;666856,581;676730,646
