Location_ID,Province,District,Address
2225,TP. Hồ Chí Minh,Phường Sài Gòn,475 Điện Biên Phủ
2226,TP. Hồ Chí Minh,Phường Bình Thạnh,590 3 Tháng 2
2227,Vĩnh Long,Xã Long Hồ,375 Võ Văn Kiệt
2228,Đồng Nai,Xã Long Thành,364 3 Tháng 2
2229,Đồng Nai,Xã Nhơn Trạch,234 Lê Lợi
2230,Vĩnh Long,Xã Trà Ôn,257 Quang Trung
2231,TP. Hồ Chí Minh,Phường Bến Thành,176 Cách Mạng Tháng Tám
2232,TP. Hồ Chí Minh,Phường Bến Thành,149 Võ Văn Kiệt
2233,TP. Hồ Chí Minh,Phường Tân Bình,284 Lý Thường Kiệt
2234,Đồng Nai,Phường Long Khánh,420 Điện Biên Phủ
2235,TP. Hồ Chí Minh,Phường Thủ Đức,586 Trần Hưng Đạo
2236,An Giang,Xã Tri Tôn,576 Nguyễn Văn Cừ
2237,Cần Thơ,Phường Thốt Nốt,225 3 Tháng 2
2238,Tây Ninh,Xã Châu Thành,277 Võ Văn Kiệt
2239,Đồng Tháp,Phường Cao Lãnh,399 Quang Trung
2240,Vĩnh Long,Xã Tam Bình,591 Quang Trung
2241,TP. Hồ Chí Minh,Phường Chợ Lớn,435 Nguyễn Trãi
2242,TP. Hồ Chí Minh,Phường Tân Bình,183 Nguyễn Huệ
2243,Đồng Nai,Phường Biên Hòa,484 Nam Kỳ Khởi Nghĩa
2244,TP. Hồ Chí Minh,Phường Bình Thạnh,321 Pasteur
2245,Tây Ninh,Xã Tân Biên,570 Cách Mạng Tháng Tám
2246,TP. Hồ Chí Minh,Phường Tân Định,398 Lý Thường Kiệt
2247,Tây Ninh,Phường Trảng Bàng,254 Cách Mạng Tháng Tám
2248,Đồng Tháp,Phường Hồng Ngự,166 Nguyễn Văn Cừ
2249,An Giang,Xã Phú Tân,4 Trần Hưng Đạo
2250,TP. Hồ Chí Minh,Phường An Khánh,340 Nam Kỳ Khởi Nghĩa
2251,TP. Hồ Chí Minh,Phường An Khánh,91 Điện Biên Phủ
2252,Vĩnh Long,Xã Mang Thít,103 Nam Kỳ Khởi Nghĩa
2253,TP. Hồ Chí Minh,Phường Chợ Lớn,184 Lê Lợi
2254,Vĩnh Long,Xã Tam Bình,572 Quang Trung
2255,Đồng Nai,Xã Long Thành,214 Cách Mạng Tháng Tám
2256,TP. Hồ Chí Minh,Phường Bình Thạnh,331 Nam Kỳ Khởi Nghĩa
2257,Cần Thơ,Phường Bình Thủy,384 Nguyễn Trãi
2258,TP. Hồ Chí Minh,Phường Thủ Đức,250 Phạm Văn Đồng
2259,Tây Ninh,Xã Tân Biên,5 Quang Trung
2260,An Giang,Xã Tri Tôn,479 Nam Kỳ Khởi Nghĩa
2261,Đồng Nai,Xã Long Thành,518 Nguyễn Trãi
2262,TP. Hồ Chí Minh,Phường Chợ Lớn,106 Nguyễn Văn Cừ
2263,Đồng Nai,Phường Trấn Biên,333 Nguyễn Trãi
2264,TP. Hồ Chí Minh,Phường Tân Định,122 Lý Thường Kiệt
2265,Đồng Nai,Phường Trấn Biên,189 Cách Mạng Tháng Tám
2266,Vĩnh Long,Xã Bình Minh,488 Nguyễn Trãi
2267,TP. Hồ Chí Minh,Phường Bình Thạnh,105 Võ Văn Kiệt
2268,An Giang,Xã Tịnh Biên,155 Phạm Văn Đồng
2269,An Giang,Xã Tịnh Biên,39 Pasteur
2270,TP. Hồ Chí Minh,Phường Tân Định,322 Cách Mạng Tháng Tám
2271,Đồng Tháp,Phường Hồng Ngự,141 Hai Bà Trưng
2272,TP. Hồ Chí Minh,Phường Sài Gòn,497 Quang Trung
2273,Cà Mau,Xã Ngọc Hiển,549 Cách Mạng Tháng Tám
2274,Vĩnh Long,Xã Trà Ôn,404 Cách Mạng Tháng Tám
2275,Vĩnh Long,Xã Long Hồ,509 Nguyễn Trãi
2276,An Giang,Xã Chợ Mới,76 Lý Thường Kiệt
2277,Đồng Nai,Xã Định Quán,247 Hai Bà Trưng
2278,TP. Hồ Chí Minh,Phường Thủ Đức,254 3 Tháng 2
2279,Tây Ninh,Phường Tây Ninh,448 Nam Kỳ Khởi Nghĩa
2280,Tây Ninh,Xã Dương Minh Châu,490 Hai Bà Trưng
2281,TP. Hồ Chí Minh,Phường Sài Gòn,292 Nguyễn Huệ
2282,TP. Hồ Chí Minh,Phường Tân Định,18 Trần Hưng Đạo
2283,Vĩnh Long,Phường Vĩnh Long,276 Nguyễn Huệ
2284,TP. Hồ Chí Minh,Phường Tân Định,168 Điện Biên Phủ
2285,Tây Ninh,Xã Tân Biên,118 Hai Bà Trưng
2286,Cà Mau,Xã Trần Văn Thời,321 Quang Trung
2287,Tây Ninh,Xã Tân Biên,136 Nguyễn Trãi
2288,Đồng Nai,Phường Biên Hòa,439 Nguyễn Trãi
2289,An Giang,Phường Châu Đốc,311 Trần Hưng Đạo
2290,Cần Thơ,Phường Cái Răng,175 Phạm Văn Đồng
2291,Đồng Nai,Xã Định Quán,459 Điện Biên Phủ
2292,Đồng Nai,Xã Long Thành,39 Võ Văn Kiệt
2293,TP. Hồ Chí Minh,Phường Bình Thạnh,378 Trần Hưng Đạo
2294,TP. Hồ Chí Minh,Phường Tân Bình,326 Điện Biên Phủ
2295,Đồng Nai,Phường Trấn Biên,448 Nguyễn Văn Cừ
2296,TP. Hồ Chí Minh,Phường Chợ Lớn,418 Pasteur
2297,TP. Hồ Chí Minh,Phường Sài Gòn,486 Nguyễn Huệ
2298,An Giang,Phường Châu Đốc,335 Nguyễn Văn Cừ
2299,Cà Mau,Xã Trần Văn Thời,28 Võ Văn Kiệt
2300,An Giang,Xã Phú Tân,263 Trần Hưng Đạo
2301,TP. Hồ Chí Minh,Phường Thủ Đức,77 Quang Trung
2302,TP. Hồ Chí Minh,Phường Chợ Lớn,447 Nguyễn Huệ
2303,An Giang,Xã Tịnh Biên,591 Nam Kỳ Khởi Nghĩa
2304,Đồng Tháp,Phường Hồng Ngự,81 Pasteur
2305,TP. Hồ Chí Minh,Phường Chợ Lớn,49 3 Tháng 2
2306,Cà Mau,Xã Ngọc Hiển,187 Nguyễn Trãi
2307,TP. Hồ Chí Minh,Phường Chợ Lớn,62 Quang Trung
2308,Cần Thơ,Xã Phong Điền,506 Nguyễn Huệ
2309,Đồng Nai,Phường Trấn Biên,582 Điện Biên Phủ
2310,TP. Hồ Chí Minh,Phường An Khánh,421 Điện Biên Phủ
2311,TP. Hồ Chí Minh,Phường An Khánh,467 Điện Biên Phủ
2312,Đồng Tháp,Xã Lai Vung,546 Nguyễn Huệ
2313,Đồng Nai,Phường Biên Hòa,111 Võ Văn Kiệt
2314,Cần Thơ,Phường Ô Môn,348 Nam Kỳ Khởi Nghĩa
2315,Đồng Nai,Xã Định Quán,566 Cách Mạng Tháng Tám
2316,TP. Hồ Chí Minh,Phường Thủ Đức,198 Hai Bà Trưng
2317,Vĩnh Long,Xã Mang Thít,54 Quang Trung
2318,Đồng Nai,Xã Long Thành,516 Võ Văn Kiệt
2319,An Giang,Xã Tịnh Biên,404 Nam Kỳ Khởi Nghĩa
2320,TP. Hồ Chí Minh,Phường Thủ Đức,397 Nguyễn Trãi
2321,TP. Hồ Chí Minh,Phường Tân Bình,585 Phạm Văn Đồng
2322,Đồng Nai,Phường Long Khánh,391 Lê Lợi
2323,Tây Ninh,Xã Tân Biên,499 Võ Văn Kiệt
2324,Cà Mau,Xã Ngọc Hiển,314 Lê Lợi
2325,TP. Hồ Chí Minh,Phường Thủ Đức,214 3 Tháng 2
2326,Vĩnh Long,Xã Tam Bình,268 3 Tháng 2
2327,Cà Mau,Xã Đầm Dơi,590 Pasteur
2328,Đồng Tháp,Phường Hồng Ngự,157 Võ Văn Kiệt
2329,TP. Hồ Chí Minh,Phường Tân Định,233 Phạm Văn Đồng
2330,Cà Mau,Xã U Minh,314 Nguyễn Huệ
2331,Đồng Nai,Phường Biên Hòa,593 Nam Kỳ Khởi Nghĩa
2332,Vĩnh Long,Xã Tam Bình,43 Cách Mạng Tháng Tám
2333,Tây Ninh,Xã Dương Minh Châu,102 Nguyễn Huệ
2334,Cà Mau,Phường Cà Mau,265 Nguyễn Huệ
2335,TP. Hồ Chí Minh,Phường Bến Thành,52 Trần Hưng Đạo
2336,Đồng Nai,Xã Định Quán,551 Nguyễn Văn Cừ
2337,TP. Hồ Chí Minh,Phường Thủ Đức,400 Quang Trung
2338,Đồng Nai,Xã Nhơn Trạch,294 Phạm Văn Đồng
2339,TP. Hồ Chí Minh,Phường Thủ Đức,145 Cách Mạng Tháng Tám
2340,An Giang,Xã Tịnh Biên,310 Hai Bà Trưng
2341,An Giang,Phường Châu Đốc,40 Nguyễn Trãi
2342,Đồng Tháp,Xã Lấp Vò,536 Điện Biên Phủ
2343,Cần Thơ,Phường Bình Thủy,560 Phạm Văn Đồng
2344,An Giang,Xã Tri Tôn,174 Nguyễn Trãi
2345,Đồng Tháp,Xã Tháp Mười,405 Lê Lợi
2346,TP. Hồ Chí Minh,Phường Tân Bình,162 Phạm Văn Đồng
2347,Đồng Nai,Xã Định Quán,288 Điện Biên Phủ
2348,TP. Hồ Chí Minh,Phường Thủ Đức,174 Lê Lợi
2349,Tây Ninh,Xã Gò Dầu,63 Nguyễn Văn Cừ
2350,Đồng Nai,Xã Nhơn Trạch,190 Trần Hưng Đạo
2351,An Giang,Xã Phú Tân,386 Nam Kỳ Khởi Nghĩa
2352,TP. Hồ Chí Minh,Phường Tân Bình,386 Nguyễn Văn Cừ
2353,TP. Hồ Chí Minh,Phường Chợ Lớn,548 Nguyễn Huệ
2354,Vĩnh Long,Xã Bình Minh,547 Quang Trung
2355,TP. Hồ Chí Minh,Phường An Khánh,302 Lý Thường Kiệt
2356,Đồng Nai,Xã Long Thành,382 Phạm Văn Đồng
2357,TP. Hồ Chí Minh,Phường Bến Thành,321 Võ Văn Kiệt
2358,Cần Thơ,Phường Cái Răng,587 Trần Hưng Đạo
2359,An Giang,Xã Phú Tân,568 Nguyễn Trãi
2360,Tây Ninh,Xã Tân Biên,174 Nguyễn Huệ
2361,An Giang,Phường Long Xuyên,486 Nguyễn Trãi
2362,TP. Hồ Chí Minh,Phường Tân Bình,202 Cách Mạng Tháng Tám
2363,Cần Thơ,Phường Ô Môn,296 Cách Mạng Tháng Tám
2364,TP. Hồ Chí Minh,Phường Chợ Lớn,499 Hai Bà Trưng
2365,Đồng Tháp,Phường Sa Đéc,369 Hai Bà Trưng
2366,An Giang,Xã Phú Tân,509 Pasteur
2367,TP. Hồ Chí Minh,Phường Sài Gòn,409 Trần Hưng Đạo
2368,TP. Hồ Chí Minh,Phường Bình Thạnh,53 Trần Hưng Đạo
2369,Tây Ninh,Phường Tây Ninh,366 Nguyễn Văn Cừ
2370,TP. Hồ Chí Minh,Phường Thủ Đức,443 3 Tháng 2
2371,TP. Hồ Chí Minh,Phường An Khánh,159 Võ Văn Kiệt
2372,Cần Thơ,Phường Ô Môn,109 Nguyễn Văn Cừ
2373,TP. Hồ Chí Minh,Phường Thủ Đức,467 Nam Kỳ Khởi Nghĩa
2374,TP. Hồ Chí Minh,Phường Bến Thành,502 Pasteur
2375,TP. Hồ Chí Minh,Phường Tân Bình,323 Nguyễn Văn Cừ
2376,Cần Thơ,Phường Ô Môn,579 Lý Thường Kiệt
2377,Cần Thơ,Phường Thốt Nốt,444 Nguyễn Văn Cừ
2378,TP. Hồ Chí Minh,Phường An Khánh,198 Pasteur
2379,Đồng Nai,Xã Định Quán,201 Trần Hưng Đạo
2380,TP. Hồ Chí Minh,Phường An Khánh,247 Nguyễn Văn Cừ
2381,TP. Hồ Chí Minh,Phường Bến Thành,195 Điện Biên Phủ
2382,TP. Hồ Chí Minh,Phường Tân Bình,494 Trần Hưng Đạo
2383,Đồng Nai,Xã Định Quán,80 Quang Trung
2384,TP. Hồ Chí Minh,Phường An Khánh,346 Cách Mạng Tháng Tám
2385,Cà Mau,Xã Ngọc Hiển,402 Nguyễn Văn Cừ
2386,Đồng Tháp,Phường Sa Đéc,78 3 Tháng 2
2387,TP. Hồ Chí Minh,Phường Chợ Lớn,584 Trần Hưng Đạo
2388,An Giang,Xã Tri Tôn,143 Quang Trung
2389,Cần Thơ,Phường Cái Răng,532 Hai Bà Trưng
2390,Tây Ninh,Phường Trảng Bàng,138 Pasteur
2391,Vĩnh Long,Xã Mang Thít,536 Cách Mạng Tháng Tám
2392,TP. Hồ Chí Minh,Phường Tân Định,547 Nguyễn Văn Cừ
2393,TP. Hồ Chí Minh,Phường Thủ Đức,352 Trần Hưng Đạo
2394,Tây Ninh,Phường Tây Ninh,403 Lý Thường Kiệt
2395,Vĩnh Long,Phường Vĩnh Long,169 Nguyễn Trãi
2396,Vĩnh Long,Xã Bình Minh,85 Lê Lợi
2397,Cà Mau,Phường Cà Mau,36 Quang Trung
2398,An Giang,Xã Chợ Mới,534 Nguyễn Văn Cừ
2399,TP. Hồ Chí Minh,Phường Sài Gòn,254 Hai Bà Trưng
2400,TP. Hồ Chí Minh,Phường Bình Thạnh,54 Điện Biên Phủ
2401,Đồng Nai,Xã Định Quán,577 Phạm Văn Đồng
2402,TP. Hồ Chí Minh,Phường Thủ Đức,562 Điện Biên Phủ
2403,Vĩnh Long,Xã Trà Ôn,577 Phạm Văn Đồng
2404,Vĩnh Long,Xã Bình Minh,286 Nam Kỳ Khởi Nghĩa
2405,TP. Hồ Chí Minh,Phường An Khánh,111 Nguyễn Văn Cừ
2406,Đồng Tháp,Xã Lấp Vò,264 Nguyễn Huệ
2407,TP. Hồ Chí Minh,Phường Sài Gòn,406 Pasteur
2408,TP. Hồ Chí Minh,Phường Tân Định,140 Điện Biên Phủ
2409,Cà Mau,Xã Ngọc Hiển,147 Nguyễn Văn Cừ
2410,Cà Mau,Xã Trần Văn Thời,254 Nguyễn Văn Cừ
2411,Đồng Tháp,Xã Lấp Vò,10 Nam Kỳ Khởi Nghĩa
2412,Cần Thơ,Phường Thốt Nốt,183 Nguyễn Huệ
2413,TP. Hồ Chí Minh,Phường Chợ Lớn,217 Pasteur
2414,Tây Ninh,Xã Tân Biên,98 Nam Kỳ Khởi Nghĩa
2415,TP. Hồ Chí Minh,Phường Thủ Đức,330 Nam Kỳ Khởi Nghĩa
2416,Vĩnh Long,Xã Long Hồ,15 Lê Lợi
2417,Tây Ninh,Xã Châu Thành,97 Nguyễn Trãi
2418,TP. Hồ Chí Minh,Phường An Khánh,461 Điện Biên Phủ
2419,Tây Ninh,Xã Châu Thành,31 3 Tháng 2
2420,An Giang,Xã Tịnh Biên,181 Pasteur
2421,Cà Mau,Xã Trần Văn Thời,342 Điện Biên Phủ
2422,TP. Hồ Chí Minh,Phường An Khánh,242 Cách Mạng Tháng Tám
2423,Đồng Tháp,Xã Lai Vung,201 Quang Trung
2424,Đồng Nai,Xã Nhơn Trạch,229 Lê Lợi
2425,Đồng Nai,Phường Biên Hòa,351 Võ Văn Kiệt
2426,TP. Hồ Chí Minh,Phường An Khánh,122 Nguyễn Huệ
2427,TP. Hồ Chí Minh,Phường Tân Bình,409 3 Tháng 2
2428,Đồng Nai,Phường Trấn Biên,575 Nguyễn Huệ
2429,Đồng Nai,Xã Long Thành,521 Hai Bà Trưng
2430,Vĩnh Long,Xã Mang Thít,477 Phạm Văn Đồng
2431,An Giang,Xã Phú Tân,598 Nam Kỳ Khởi Nghĩa
2432,TP. Hồ Chí Minh,Phường Chợ Lớn,53 Điện Biên Phủ
2433,Đồng Nai,Xã Long Thành,331 Hai Bà Trưng
2434,An Giang,Xã Tịnh Biên,239 Nguyễn Huệ
2435,Đồng Tháp,Xã Lấp Vò,204 Phạm Văn Đồng
2436,Đồng Nai,Xã Long Thành,387 Hai Bà Trưng
2437,TP. Hồ Chí Minh,Phường Tân Định,447 Quang Trung
2438,TP. Hồ Chí Minh,Phường Sài Gòn,196 Hai Bà Trưng
2439,TP. Hồ Chí Minh,Phường Bình Thạnh,203 Nam Kỳ Khởi Nghĩa
2440,Vĩnh Long,Xã Tam Bình,21 Nam Kỳ Khởi Nghĩa
2441,TP. Hồ Chí Minh,Phường Tân Bình,450 Võ Văn Kiệt
2442,An Giang,Xã Chợ Mới,531 3 Tháng 2
2443,TP. Hồ Chí Minh,Phường Thủ Đức,214 Nam Kỳ Khởi Nghĩa
2444,Cà Mau,Xã Đầm Dơi,111 Lý Thường Kiệt
2445,Cần Thơ,Phường Ô Môn,450 Cách Mạng Tháng Tám
2446,TP. Hồ Chí Minh,Phường Sài Gòn,225 Lê Lợi
2447,TP. Hồ Chí Minh,Phường Sài Gòn,124 Phạm Văn Đồng
2448,TP. Hồ Chí Minh,Phường Thủ Đức,382 Trần Hưng Đạo
2449,Vĩnh Long,Xã Trà Ôn,88 Lý Thường Kiệt
2450,Vĩnh Long,Phường Vĩnh Long,406 Hai Bà Trưng
2451,TP. Hồ Chí Minh,Phường Sài Gòn,158 Trần Hưng Đạo
2452,TP. Hồ Chí Minh,Phường Tân Định,190 Nguyễn Huệ
2453,Vĩnh Long,Xã Trà Ôn,355 Quang Trung
2454,An Giang,Phường Long Xuyên,76 Quang Trung
2455,TP. Hồ Chí Minh,Phường Chợ Lớn,104 Nguyễn Huệ
2456,Vĩnh Long,Phường Vĩnh Long,35 Pasteur
2457,Đồng Nai,Xã Long Thành,467 Nam Kỳ Khởi Nghĩa
2458,TP. Hồ Chí Minh,Phường Tân Bình,557 Võ Văn Kiệt
2459,Đồng Tháp,Phường Cao Lãnh,447 Nguyễn Văn Cừ
2460,Vĩnh Long,Xã Trà Ôn,420 Nguyễn Văn Cừ
2461,Đồng Nai,Phường Long Khánh,442 Trần Hưng Đạo
2462,An Giang,Phường Châu Đốc,144 Quang Trung
2463,An Giang,Phường Châu Đốc,579 Trần Hưng Đạo
2464,An Giang,Phường Châu Đốc,167 Quang Trung
2465,Đồng Nai,Xã Long Thành,121 Phạm Văn Đồng
2466,Cà Mau,Xã Đầm Dơi,412 3 Tháng 2
2467,Đồng Nai,Phường Biên Hòa,168 Trần Hưng Đạo
2468,TP. Hồ Chí Minh,Phường Tân Bình,37 3 Tháng 2
2469,Vĩnh Long,Xã Trà Ôn,383 Điện Biên Phủ
2470,Đồng Tháp,Phường Cao Lãnh,152 Nam Kỳ Khởi Nghĩa
2471,TP. Hồ Chí Minh,Phường Sài Gòn,49 Nguyễn Trãi
2472,TP. Hồ Chí Minh,Phường Bến Thành,173 Cách Mạng Tháng Tám
2473,TP. Hồ Chí Minh,Phường Tân Bình,71 Hai Bà Trưng
2474,Vĩnh Long,Xã Long Hồ,280 Nguyễn Trãi
2475,Cần Thơ,Phường Ô Môn,557 Trần Hưng Đạo
2476,TP. Hồ Chí Minh,Phường Bình Thạnh,226 Pasteur
2477,Đồng Tháp,Phường Sa Đéc,380 Trần Hưng Đạo
2478,TP. Hồ Chí Minh,Phường Chợ Lớn,474 Trần Hưng Đạo
2479,An Giang,Xã Chợ Mới,55 Điện Biên Phủ
2480,TP. Hồ Chí Minh,Phường Bình Thạnh,282 Pasteur
2481,TP. Hồ Chí Minh,Phường Chợ Lớn,169 Nguyễn Trãi
2482,An Giang,Phường Châu Đốc,347 Võ Văn Kiệt
2483,TP. Hồ Chí Minh,Phường Sài Gòn,118 Nam Kỳ Khởi Nghĩa
2484,TP. Hồ Chí Minh,Phường An Khánh,74 Võ Văn Kiệt
2485,Cần Thơ,Phường Cái Răng,530 Võ Văn Kiệt
2486,Đồng Nai,Phường Long Khánh,240 Hai Bà Trưng
2487,Tây Ninh,Xã Gò Dầu,11 Trần Hưng Đạo
2488,Tây Ninh,Xã Châu Thành,163 Điện Biên Phủ
2489,An Giang,Xã Tịnh Biên,595 Lê Lợi
2490,An Giang,Xã Tịnh Biên,167 Hai Bà Trưng
2491,Vĩnh Long,Xã Mang Thít,198 Quang Trung
2492,Cà Mau,Xã U Minh,598 Trần Hưng Đạo
2493,An Giang,Xã Tri Tôn,43 Nam Kỳ Khởi Nghĩa
2494,TP. Hồ Chí Minh,Phường Chợ Lớn,587 Hai Bà Trưng
2495,An Giang,Phường Châu Đốc,319 Võ Văn Kiệt
2496,TP. Hồ Chí Minh,Phường An Khánh,95 Nguyễn Văn Cừ
2497,TP. Hồ Chí Minh,Phường Chợ Lớn,30 Nguyễn Trãi
2498,TP. Hồ Chí Minh,Phường Tân Định,535 Lê Lợi
2499,Tây Ninh,Xã Châu Thành,298 Phạm Văn Đồng
2500,TP. Hồ Chí Minh,Phường Tân Bình,239 Điện Biên Phủ
2501,An Giang,Xã Chợ Mới,37 Trần Hưng Đạo
2502,Cần Thơ,Phường Bình Thủy,518 Điện Biên Phủ
2503,TP. Hồ Chí Minh,Phường Tân Bình,150 Điện Biên Phủ
2504,Đồng Nai,Xã Nhơn Trạch,590 Võ Văn Kiệt
2505,TP. Hồ Chí Minh,Phường Bến Thành,525 Quang Trung
2506,An Giang,Phường Long Xuyên,285 Võ Văn Kiệt
2507,TP. Hồ Chí Minh,Phường Tân Bình,534 Cách Mạng Tháng Tám
2508,Đồng Tháp,Xã Tháp Mười,320 Hai Bà Trưng
2509,Đồng Nai,Phường Trấn Biên,428 Nguyễn Văn Cừ
2510,Cà Mau,Xã Ngọc Hiển,258 Điện Biên Phủ
2511,An Giang,Xã Chợ Mới,513 Nguyễn Văn Cừ
2512,Đồng Tháp,Phường Cao Lãnh,23 Lê Lợi
2513,TP. Hồ Chí Minh,Phường Sài Gòn,325 Nam Kỳ Khởi Nghĩa
2514,Đồng Nai,Xã Long Thành,487 Quang Trung
2515,TP. Hồ Chí Minh,Phường Bến Thành,14 Lý Thường Kiệt
2516,TP. Hồ Chí Minh,Phường Bến Thành,439 Lý Thường Kiệt
2517,TP. Hồ Chí Minh,Phường Bến Thành,54 Hai Bà Trưng
2518,TP. Hồ Chí Minh,Phường Tân Bình,487 Phạm Văn Đồng
2519,TP. Hồ Chí Minh,Phường Bình Thạnh,273 3 Tháng 2
2520,TP. Hồ Chí Minh,Phường Bến Thành,91 Lê Lợi
2521,TP. Hồ Chí Minh,Phường Chợ Lớn,291 Nguyễn Huệ
2522,TP. Hồ Chí Minh,Phường Bến Thành,552 Nam Kỳ Khởi Nghĩa
2523,Cà Mau,Xã Năm Căn,210 Nguyễn Trãi
2524,TP. Hồ Chí Minh,Phường Thủ Đức,174 Pasteur
2525,Cần Thơ,Xã Phong Điền,255 Pasteur
2526,TP. Hồ Chí Minh,Phường Thủ Đức,526 Nguyễn Trãi
2527,TP. Hồ Chí Minh,Phường An Khánh,597 Võ Văn Kiệt
2528,Vĩnh Long,Xã Tam Bình,165 Nguyễn Văn Cừ
2529,Đồng Tháp,Phường Hồng Ngự,419 Nguyễn Huệ
2530,TP. Hồ Chí Minh,Phường Tân Định,107 3 Tháng 2
2531,Vĩnh Long,Xã Mang Thít,469 Pasteur
2532,TP. Hồ Chí Minh,Phường Thủ Đức,260 Nguyễn Trãi
2533,TP. Hồ Chí Minh,Phường Sài Gòn,153 Võ Văn Kiệt
2534,TP. Hồ Chí Minh,Phường Bình Thạnh,306 Nguyễn Huệ
2535,Vĩnh Long,Xã Long Hồ,279 Pasteur
2536,TP. Hồ Chí Minh,Phường Chợ Lớn,15 Điện Biên Phủ
2537,Đồng Nai,Xã Nhơn Trạch,480 Cách Mạng Tháng Tám
2538,Cần Thơ,Phường Cái Răng,16 Lê Lợi
2539,Cần Thơ,Phường Ô Môn,369 Quang Trung
2540,Đồng Nai,Xã Nhơn Trạch,201 Điện Biên Phủ
2541,Cà Mau,Xã Trần Văn Thời,49 Nguyễn Trãi
2542,An Giang,Xã Tịnh Biên,191 Nguyễn Trãi
2543,An Giang,Phường Châu Đốc,77 Phạm Văn Đồng
2544,TP. Hồ Chí Minh,Phường Chợ Lớn,467 Cách Mạng Tháng Tám
2545,TP. Hồ Chí Minh,Phường Thủ Đức,171 Phạm Văn Đồng
2546,Cần Thơ,Phường Cái Răng,507 Điện Biên Phủ
2547,Đồng Nai,Xã Long Thành,440 Cách Mạng Tháng Tám
2548,TP. Hồ Chí Minh,Phường Tân Bình,209 Nguyễn Văn Cừ
2549,TP. Hồ Chí Minh,Phường Bến Thành,130 Điện Biên Phủ
2550,Cà Mau,Xã Năm Căn,98 Nguyễn Văn Cừ
2551,Cần Thơ,Phường Ô Môn,279 3 Tháng 2
2552,Cần Thơ,Phường Bình Thủy,148 Phạm Văn Đồng
2553,Đồng Tháp,Phường Sa Đéc,411 Nguyễn Huệ
2554,Cần Thơ,Phường Ninh Kiều,461 Điện Biên Phủ
2555,Tây Ninh,Xã Tân Biên,494 Pasteur
2556,An Giang,Phường Châu Đốc,128 Quang Trung
2557,Tây Ninh,Xã Gò Dầu,156 Pasteur
2558,Vĩnh Long,Xã Tam Bình,69 Quang Trung
2559,TP. Hồ Chí Minh,Phường Bến Thành,280 Phạm Văn Đồng
2560,TP. Hồ Chí Minh,Phường Thủ Đức,266 Lý Thường Kiệt
2561,Tây Ninh,Xã Tân Biên,579 Nguyễn Huệ
2562,An Giang,Phường Châu Đốc,494 Nguyễn Văn Cừ
2563,An Giang,Xã Phú Tân,252 Lê Lợi
2564,Cà Mau,Xã Trần Văn Thời,19 Trần Hưng Đạo
2565,Vĩnh Long,Xã Bình Minh,2 Lê Lợi
2566,Vĩnh Long,Xã Long Hồ,88 Cách Mạng Tháng Tám
2567,Đồng Nai,Phường Biên Hòa,92 Võ Văn Kiệt
2568,Vĩnh Long,Xã Trà Ôn,221 Nguyễn Trãi
2569,Cần Thơ,Phường Ô Môn,285 Nguyễn Văn Cừ
2570,Đồng Tháp,Xã Lấp Vò,352 Nguyễn Trãi
2571,An Giang,Xã Phú Tân,184 Quang Trung
2572,TP. Hồ Chí Minh,Phường Bến Thành,560 Nguyễn Trãi
2573,Tây Ninh,Xã Châu Thành,56 Võ Văn Kiệt
2574,TP. Hồ Chí Minh,Phường Bến Thành,485 Lê Lợi
2575,TP. Hồ Chí Minh,Phường Thủ Đức,550 3 Tháng 2
2576,Vĩnh Long,Xã Bình Minh,432 Cách Mạng Tháng Tám
2577,Đồng Tháp,Xã Tháp Mười,99 Quang Trung
2578,Cà Mau,Phường Cà Mau,432 Nam Kỳ Khởi Nghĩa
2579,Tây Ninh,Xã Châu Thành,476 Nguyễn Văn Cừ
2580,An Giang,Xã Tịnh Biên,596 Quang Trung
2581,TP. Hồ Chí Minh,Phường Tân Bình,192 Hai Bà Trưng
2582,Cà Mau,Xã Trần Văn Thời,355 Nguyễn Huệ
2583,Vĩnh Long,Xã Tam Bình,531 Trần Hưng Đạo
2584,Đồng Nai,Phường Long Khánh,580 Nguyễn Huệ
2585,TP. Hồ Chí Minh,Phường Bình Thạnh,349 Nguyễn Huệ
2586,Cà Mau,Xã Đầm Dơi,268 Cách Mạng Tháng Tám
2587,TP. Hồ Chí Minh,Phường Tân Bình,346 Lý Thường Kiệt
2588,An Giang,Xã Phú Tân,64 Điện Biên Phủ
2589,TP. Hồ Chí Minh,Phường Chợ Lớn,515 Nguyễn Văn Cừ
2590,Tây Ninh,Xã Tân Biên,440 Quang Trung
2591,Tây Ninh,Xã Tân Biên,263 Nguyễn Trãi
2592,TP. Hồ Chí Minh,Phường Bình Thạnh,485 Trần Hưng Đạo
2593,TP. Hồ Chí Minh,Phường Tân Định,309 3 Tháng 2
2594,Tây Ninh,Xã Gò Dầu,370 Võ Văn Kiệt
2595,TP. Hồ Chí Minh,Phường Chợ Lớn,232 Cách Mạng Tháng Tám
2596,An Giang,Xã Tịnh Biên,302 Hai Bà Trưng
2597,TP. Hồ Chí Minh,Phường Tân Bình,17 Phạm Văn Đồng
2598,Đồng Nai,Phường Long Khánh,224 Pasteur
2599,Cà Mau,Xã Trần Văn Thời,584 Nguyễn Trãi
2600,Đồng Nai,Xã Long Thành,481 Trần Hưng Đạo
